Prompt,Class
Hi,greeting
How are you,greeting
Is anyone there?,greeting
Hello,greeting
Good day,greeting
Hello there,greeting
Good morning,greeting
Good evening,greeting
how is it going,greeting
greetings,greeting
Tell me something,greeting
What is your name?,name
What should I call you?,name
What do you go by?,name
What's your name?,name
What should I call you?,name
Can you introduce yourself?,name
name,name
alias,name
nickname,name
what do the common folk call you?,name
Bye,goodbye
See you later,goodbye
Goodbye,goodbye
I am leaving,goodbye
Have a nice day,goodbye
See you soon,goodbye
Have a good day,goodbye
See you later,goodbye
Thanks,thanks
thank you,thanks
much obliged,thanks
That's great!,thanks
thank you so much,thanks
you are a lifesaver,thanks
I can't thank you enough!,thanks
I am grateful,thanks
I appreciate it,thanks
Bless you!,thanks
I owe you one,thanks
What is your tech stack?,techstack
Techstack?,techstack
What technologies do you use?,techstack
What tech do you use?,techstack
What tech stack do you use?,techstack
What technologies do you use?,techstack
What tech do you use?,techstack
What tech stack do you use?,techstack
What made you?,techstack
What created you?,techstack
what are you made of?,techstack
tech?,techstack
techstack?,techstack
What is your tech stack?,techstack
technologies used to build you?,techstack
Who created you?,creator
Who is your creator?,creator
Who made you?,creator
Who is your father?,creator
Who is your mother?,creator
Who is your parent?,creator
Who is your dad?,creator
Who is your mom?,creator
Who is your maker?,creator
Creator?,creator
Maker?,creator
Created by?,creator
Made by?,creator
maintainer?,creator
Who is responsible for your creation?,creator
Who maintains you?,creator
Who is your maintainer?,creator
Who is your owner?,creator
Who owns you?,creator
What are your hobbies?,hobby
What do you like to do?,hobby
What are you good at?,hobby
Can you tell me some of your hobbies?,hobby
Do you like to do anything fun?,hobby
What do you like to do in your free time?,hobby
What do you like to do for fun?,hobby
 ,confused
?,confused
*,confused
diosh,confused
ffs,confused
wtf,confused
wth,confused
wthf,confused
rrr,confused
saw,confused
How can you help me?,options
What can you do?,options
What help you provide?,options
How can you be helpful?,options
What support do you offered,options
What do you know?,options
what help?,options
What are you about?,options
What are you?,options
help,options
help me,options
help me please,options
help me out,options
location,location
Where do you live?,location
Where are you?,location
Where are you based out of?,location
location where?,location
base of operations?,location
base?,location
residence?,location
where do you reside?,location
Can you tell me your location?,location
Can you tell me your residence?,location
Where is your residence?,location
Where is your location?,location
Where is ur location?,location
Where is location?,location
How are you?,status
How are you doing?,status
How are things?,status
How's it going?,status
How's life?,status
How's your day going?,status
How's your day?,status
How's your day been?,status
How's your day been going?,status
How's your day been so far?,status
Are you a robot?,areubot
Are you a bot?,areubot
Are you a human?,areubot
Are you a human or a bot?,areubot
Are you a human or a robot?,areubot
Are you a bot or a human?,areubot
Are you a robot or a human?,areubot
Are you a bot or a robot?,areubot
Are you an AI?,areubot
Are you artificial intelligence?,areubot
Are you AI?,areubot
Are you a computer?,areubot
Are you a computer program?,areubot
Are you a computer program or a human?,areubot
Are you a computer program or a robot?,areubot
Are you a computer program or a bot?,areubot
Are you a computer program or AI?,areubot
Are you a computer program or artificial intelligence?,areubot
Are you a man or a woman?,gender
Are you male or female,gender
What are your pronouns,gender
What do you identify as,gender
Identity?,gender
Do you have a gender?,gender
gender?,gender
pronoun,gender
pronouns?,gender
identify,gender
identify as,gender
identify as?,gender
Identity?,gender
your identity?,gender
are you a man?,gender
are you a woman?,gender